table_key,field_name,label,description,example,notes
agencies,agency_name,Agency Name,"Name shown when assigning requests, stock movements, or shelter support to this agency.",Kingston Municipal Corporation,
agencies,agency_type,Type,Classifies whether the agency receives shelter or distribution work.,,Placeholder omitted: select field shows configured choices.
agencies,warehouse_id,Warehouse,Warehouse this agency works from for stock collection and day-to-day distribution.,,Placeholder omitted: lookup choices are shown by the field.
agencies,agency_priority,Priority,Order used when teams triage agency support during a response.,,Placeholder omitted: numeric entry should not show a sentinel value. User review: confirm whether lower numbers mean higher priority.
agencies,ineligible_event_id,Ineligible Event,"Event that currently blocks this agency from response assignments, when applicable.",,Placeholder omitted: lookup choices are shown by the field.
agencies,address1_text,Address Line 1,Primary address field teams use to reach this agency.,"12 Camp Road, Kingston",
agencies,address2_text,Address Line 2,"Additional address detail such as building, floor, gate, or landmark.","Gate 2, Logistics Office",
agencies,parish_code,Parish,"Parish used for routing, reporting, and field coordination.",,Placeholder omitted: lookup choices are shown by the field.
agencies,contact_name,Contact Name,Person field teams should contact about this agency.,Kemar Brown,
agencies,phone_no,Phone,Number field teams can call during operations.,+1 876 555 0123,
agencies,email_text,Email,Operational email used for confirmations and follow-up.,ops@kingston.gov.jm,
agencies,status_code,Status,Active agencies can be selected for response work; inactive agencies remain for history.,,Placeholder omitted: status select shows lifecycle choices.
countries,country_name,Country Name,"Country name used for donor, supplier, and procurement records.",Jamaica,
countries,currency_code,Currency,Default currency teams expect when this country is selected.,,Placeholder omitted: lookup choices are shown by the field.
countries,status_code,Status,Active countries appear in lookups; inactive countries stay for existing records.,,Placeholder omitted: status select shows lifecycle choices.
currencies,currency_code,Currency Code,Short currency code finance teams use on country and supplier records.,(set on creation; locked once saved),Readonly on edit after creation.
currencies,currency_name,Currency Name,Full currency name shown wherever this currency is selected.,Jamaican Dollar,
currencies,currency_sign,Sign,Symbol printed beside amounts for this currency.,J$,
currencies,status_code,Status,Active currencies appear in lookups; inactive currencies stay for existing records.,,Placeholder omitted: status select shows lifecycle choices.
custodians,custodian_name,Custodian Name,Person or organization accountable for warehouse custody and handover.,ODPEM Logistics Unit,
custodians,address1_text,Address Line 1,Primary address field teams use to reach the custodian.,"12 Camp Road, Kingston",
custodians,address2_text,Address Line 2,"Additional address detail such as building, floor, gate, or landmark.",Main Stores Office,
custodians,parish_code,Parish,"Parish used for routing, reporting, and field coordination.",,Placeholder omitted: lookup choices are shown by the field.
custodians,contact_name,Contact Name,Person teams should call for custody questions or handover.,Kemar Brown,
custodians,phone_no,Phone,Number field teams can call during operations.,+1 876 555 0123,
custodians,email_text,Email,Operational email used for confirmations and follow-up.,custody@odpem.gov.jm,
donors,donor_code,Donor Code,"Short donor key used to match donations, acknowledgements, and reports.",(set on creation; locked once saved),Readonly on edit after creation.
donors,donor_name,Donor Name,"Official donor name shown on receipts, stock provenance, and reports.",World Food Programme,
donors,org_type_desc,Organization Type,Type of donor organization used for reporting and partner review.,UN Agency,
donors,address1_text,Address Line 1,Primary address used for donor correspondence and audit records.,"14 Harbour Street, Kingston",
donors,address2_text,Address Line 2,"Additional address detail such as building, floor, or mail stop.",Suite 3B,
donors,country_id,Country,Country this donor is based in for reporting and partner context.,,Placeholder omitted: lookup choices are shown by the field.
donors,phone_no,Phone,Number teams can call to confirm donation details.,+1 876 555 0123,
donors,email_text,Email,Email used for donation confirmations and follow-up.,donations@example.org,
events,event_name,Event Name,Operational name dispatchers and planners will see on response records.,Hurricane Beryl 2026,
events,event_type,Event Type,Classifies the hazard so reports and dashboards group the event correctly.,,Placeholder omitted: select field shows configured choices.
events,start_date,Start Date,Date the event began for planning windows and response reporting.,2026-07-03,
events,event_desc,Description,Short operational summary teams use to understand the event context.,Category 4 hurricane affecting southern parishes,
events,impact_desc,Impact Description,Impact summary used to plan relief demand and response priorities.,"Flooding, roof damage, and shelter activation",
events,status_code,Status,Active events drive planning; closed events remain for history.,,Placeholder omitted: status select shows lifecycle choices.
events,closed_date,Closed Date,Date leadership closed the event for planning and dashboard visibility.,2026-07-12,
events,reason_desc,Closure Reason,Reason leadership closed or archived this event.,Response transitioned to recovery operations,
